sample	NRF	PBC1	PBC2	TSS_score	FRiP	Peak_count	Alignment_rate	to_keep	study	cell_type	paired_end	stimulated	groups	file
SRR7650740	0.48	0.69	3.11	18.5	0.29	274728	80.2	TRUE	Calderon	Effector_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650804	0.69	0.83	6.09	6.9	0.16	344194	80.43	TRUE	Calderon	Th2_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR14240829	0.91	0.96	22.85	12	0.33	378440	77.76	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR15054974	0.25	0.48	1.65	8.8	0.11	350932	82.26	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054928	0.61	0.77	4.2	20.7	0.27	306705	82.19	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054777	0.5	0.7	3.14	14.6	0.17	195901	77.34	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR11297460	0.92	0.96	23.72	18.1	0.39	238790	65.84	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR11149168	0.74	0.86	7.04	7.2	0.27	626096	66.2	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15055218	0.87	0.93	15.03	15.2	0.24	266823	35.87	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054861	0.08	0.26	1.23	21.7	0.14	226615	82.42	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5646919	0.34	0.57	2.09	9.7	0.17	254673	44.77	TRUE	Liu	human_dendritic_cell	PAIRED	none	DCs	SRA
SRR7650800	0.43	0.65	2.69	20.5	0.3	214245	82.71	TRUE	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650877	0.56	0.75	3.85	11.1	0.18	305643	80.55	TRUE	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR14240819	0.73	0.85	6.92	16.2	0.42	238922	83.06	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR15054964	0.55	0.73	3.59	19.9	0.22	222310	85.45	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR15054815	0.3	0.53	1.89	17	0.17	180859	77.7	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15055254	0.83	0.91	11.13	16.9	0.22	165287	82.5	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054918	0.57	0.75	3.83	14.2	0.19	264695	82.77	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054767	0.37	0.6	2.22	11.1	0.14	302907	79.88	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR11297450	0.24	0.46	1.54	10.8	0.13	287528	34.29	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR5646915	0.25	0.48	1.71	15	0.15	218487	30.7	TRUE	Liu	human_CD8+_T_cell	PAIRED	none	CD8_Tcells	SRA
SRR11149158	0.74	0.86	7.12	6.9	0.29	674780	65.66	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15054851	0.04	0.21	2.13	22.7	0.07	410243	83.12	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650873	0.69	0.83	5.66	8.6	0.23	545118	78.95	TRUE	Calderon	Naive_Tregs	PAIRED	stimulated	Tregs	SRA
SRR11297469	0.76	0.88	8.26	15.6	0.57	378806	72.31	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR7650779	0.47	0.68	2.9	9.2	0.2	539690	78.49	TRUE	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR14240809	0.69	0.83	5.83	12.9	0.31	254021	81.86	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR7650792	0.57	0.75	3.8	8.2	0.18	398462	81.17	TRUE	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR7650856	0.74	0.86	6.86	8.8	0.2	318971	79.24	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR13276231	0.31	0.54	2	7.6	0.15	317406	26.6	TRUE	Ge	Fibroblasts	PAIRED	none	Fibroblasts	SRA
SRR5646911	0.54	0.73	3.38	5.2	0.08	185733	64.82	TRUE	Liu	human_endotheliocyte_cell	PAIRED	none	Endothelial	SRA
SRR15054908	0.25	0.48	1.67	15.4	0.12	202569	81.83	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR2920516	0.38	0.6	2.21	17.9	0.26	281782	70.74	TRUE	Corces	NKcell	PAIRED	none	NK	SRA
SRR11149148	0.77	0.87	7.99	6	0.19	499700	70.6	TRUE	Xin	Endothelial	PAIRED	normoxia	Endothelial	SRA
SRR15054841	0.02	0.14	2.1	21.7	0.05	478185	83.03	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11297459	0.93	0.96	28.42	18.4	0.41	235479	65.91	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR7650775	0.49	0.7	3.55	10.4	0.2	439993	76.45	TRUE	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR7650839	0.2	0.42	1.49	16.9	0.22	398229	49.08	TRUE	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR7650852	0.84	0.92	11.72	6.6	0.27	601640	77.22	TRUE	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR11149184	0.86	0.93	13.69	9.9	0.35	497646	71.6	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15055234	0.89	0.94	17.35	16.5	0.26	260668	50.9	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR2920512	0.17	0.39	1.48	20.5	0.17	171487	49.25	TRUE	Corces	NKcell	PAIRED	none	NK	SRA
SRR7650758	0.47	0.68	3.06	18.3	0.34	464136	75.55	TRUE	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054896	0.5	0.7	3.15	21.9	0.23	305377	84.64	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR14240835	0.36	0.59	2.35	16.1	0.15	156172	76.19	TRUE	Zhang	CD4_T_cells	PAIRED	none	CD4_Tcells	SRA
SRR15054831	0.09	0.27	1.22	17.9	0.12	312935	81.1	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR7650835	0.55	0.74	3.67	15	0.28	359906	55.82	TRUE	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR11297449	0.93	0.97	29.69	19	0.62	276196	55.35	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR5831535	0.45	0.66	2.65	13.2	0.14	177306	49.76	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR7650912	0.66	0.81	5.31	7.4	0.17	471616	82.76	TRUE	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR15054934	0.58	0.76	3.9	13.7	0.17	214749	73.37	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054783	0.38	0.6	2.27	10.8	0.13	338309	79.25	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650754	0.34	0.58	2.24	16.4	0.23	392501	70.74	TRUE	Calderon	Naive_Teffs	PAIRED	stimulated	Naive_CD4_Tcells	SRA
SRR11149174	0.84	0.91	11.63	8	0.3	454826	75.45	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650818	0.8	0.89	9.13	14.9	0.32	472160	53.76	TRUE	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR5831518	0.69	0.83	6.04	11.8	0.2	271204	42.6	TRUE	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR15054886	0.71	0.84	6.01	19.8	0.26	191441	86.08	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650831	0.29	0.52	1.89	14.3	0.21	356543	42.04	TRUE	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR14240825	0.92	0.96	24.64	11.2	0.28	258129	79.82	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR15054970	0.01	0.13	3.46	21.5	0.02	284239	82.72	TRUE	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054821	0.62	0.78	4.38	12.4	0.15	179124	78.79	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5831531	0.66	0.81	4.95	10.2	0.18	310503	44.37	TRUE	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR5646963	0.93	0.96	26.16	11.1	0.19	186223	44.96	TRUE	Liu	human_fibroblast_cell	PAIRED	sclerosis_patient	Fibroblasts	SRA
SRR11297439	0.74	0.86	6.79	12.6	0.29	156594	66.5	TRUE	Leylek	cDC1	PAIRED	none	DCs	SRA
SRR7650737	0.55	0.74	3.67	16.7	0.28	383803	72.4	TRUE	Calderon	CD8pos_T	PAIRED	stimulated	CD8_Tcells	SRA
SRR7650750	0.67	0.82	5.55	18.1	0.4	423224	79.17	TRUE	Calderon	Memory_Teffs	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054773	0.14	0.34	1.32	17.4	0.13	316074	83.26	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR7650814	0.71	0.84	6.29	14.6	0.28	336368	48.91	TRUE	Calderon	Mem_B	PAIRED	none	Bcells	SRA
SRR11149164	0.86	0.93	13.28	8.5	0.31	520773	68.84	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR5831514	0.72	0.85	6.88	13.7	0.34	494456	27.77	TRUE	Mumbach	Naïve_T_primary_cell	PAIRED	none	Naive_CD4_Tcells	SRA
SRR2920487	0.21	0.42	1.44	11.9	0.19	431478	55.62	TRUE	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR15054876	0.62	0.78	4.56	14.8	0.18	236648	82.28	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR14240815	0.68	0.83	5.75	10.3	0.23	259863	80.41	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	stimulated	Macrophages	SRA
SRR7650733	0.48	0.69	3.11	22.2	0.34	254109	78.77	TRUE	Calderon	Naive_B	PAIRED	none	Bcells	SRA
SRR5646929	0.5	0.7	3.08	11.6	0.18	219759	24.55	TRUE	Liu	human_macrophage_cell	PAIRED	none	Macrophages	SRA
SRR5646942	0.11	0.31	1.34	19.3	0.15	276836	28.42	TRUE	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR11149154	0.87	0.93	14.19	10.5	0.36	452490	62.08	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR11297465	0.94	0.97	32.51	25.5	0.48	142636	42.18	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR11727640	0.13	0.33	1.31	14.4	0.1	359708	84.61	TRUE	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR15054866	0.01	0.1	2.85	15.8	0.03	361420	77.86	TRUE	Giles	CD4_Tfh	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR14240805	0.73	0.85	6.81	13.5	0.33	291382	83.04	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR15054801	0.57	0.75	3.73	15.9	0.18	186469	83.78	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650883	0.7	0.83	5.95	12.8	0.21	282482	82.62	TRUE	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR15054969	0.67	0.82	5.26	19.9	0.26	192850	86.61	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149190	0.83	0.91	11.34	9	0.31	428446	68.33	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR2920543	0.11	0.29	1.17	16.3	0.14	287318	52.66	TRUE	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR15055259	0.26	0.48	1.67	11.2	0.13	287486	80.89	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR7650789	0.73	0.85	6.58	15.1	0.37	361297	77.95	TRUE	Calderon	Effector_CD4pos_T	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR11149144	0.89	0.94	17.17	9.9	0.33	419839	69.84	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR14240841	0.94	0.97	31.98	13.6	0.22	265595	84.26	TRUE	Zhang	CD14_monocytes	PAIRED	none	Monocytes	SRA
SRR11297455	0.93	0.96	28.18	19.5	0.51	287963	31.82	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR7650866	0.54	0.73	3.58	15.4	0.24	275277	75.76	TRUE	Calderon	Memory_Teffs	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054856	0.13	0.33	1.33	14.3	0.14	511167	79.63	TRUE	Giles	CD4_Treg	PAIRED	none	Tregs	SRA
SRR5646921	0.37	0.59	2.17	6.9	0.09	256177	47.82	TRUE	Liu	human_fibroblast_cell	PAIRED	none	Fibroblasts	SRA
SRR15054940	0.4	0.62	2.38	16	0.2	243651	77.98	TRUE	Giles	CD8_Naive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR2920526	0.16	0.37	1.4	26.1	0.21	146784	58.76	TRUE	Corces	NKcell	PAIRED	none	NK	SRA
SRR11149180	0.86	0.93	13.8	9.7	0.36	453797	67.52	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650785	0.75	0.86	7.24	6.3	0.2	503745	80.53	TRUE	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR11297491	0.92	0.96	25.82	15.3	0.48	188075	61.19	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR7650849	0.81	0.9	10.1	7.2	0.24	447822	73.42	TRUE	Calderon	Monocytes	PAIRED	none	Monocytes	SRA
SRR14240831	0.93	0.96	28.73	14.4	0.41	337249	79.81	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	none	Macrophages	SRA
SRR11297445	0.92	0.96	24.31	17.3	0.55	183947	58.02	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR15054846	0.27	0.5	1.89	17.4	0.2	435030	82.88	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650768	0.84	0.92	12.02	9.5	0.29	682319	80.43	TRUE	Calderon	Monocytes	PAIRED	stimulated	Monocytes	SRA
SRR15054930	0.56	0.74	3.7	17.7	0.23	219939	78.85	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11727639	0.04	0.19	1.28	26.3	0.11	368967	84.37	TRUE	Perez	Neutrophils	PAIRED	none	Neutrophils	SRA
SRR7650781	0.75	0.86	7.2	13.7	0.31	394492	77.71	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	stimulated	Non_Naive_CD8_Tcells	SRA
SRR11149170	0.88	0.94	15.9	10	0.35	431975	65.85	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650845	0.41	0.63	2.57	20	0.28	227791	15.15	TRUE	Calderon	Immature_NK	PAIRED	none	NK	SRA
SRR15055220	0.68	0.82	5.38	16.7	0.18	189587	48.69	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054798	0.7	0.83	5.84	17.2	0.25	279075	84.57	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650909	0.62	0.79	4.68	5.2	0.18	587429	78.15	TRUE	Calderon	Naive_Tregs	PAIRED	none	Tregs	SRA
SRR11149189	0.88	0.94	15.57	9.2	0.32	467877	68.36	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650922	0.61	0.78	4.45	6.6	0.16	442602	82.43	TRUE	Calderon	Memory_NK	PAIRED	none	NK	SRA
SRR14240821	0.94	0.97	31.38	12.4	0.37	265210	80.51	TRUE	Zhang	induced_pluripotent_stem_cell-derived_macrophages	PAIRED	stimulated	Macrophages	SRA
SRR11297435	0.92	0.96	24.09	15.5	0.46	340331	33.45	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR7650764	0.36	0.59	2.35	19	0.25	337111	83.57	TRUE	Calderon	Mature_NK	PAIRED	none	NK	SRA
SRR7650828	0.45	0.67	2.94	17.5	0.29	361740	31.96	TRUE	Calderon	Effector_CD4pos_T	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054836	0.11	0.29	1.21	19.8	0.14	393834	84.37	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5831528	0.68	0.83	5.94	10.7	0.15	171585	36.32	TRUE	Mumbach	Treg_primary_cell	PAIRED	none	Tregs	SRA
SRR15054920	0.36	0.59	2.24	18.2	0.17	193357	83.15	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650841	0.36	0.58	2.19	15.2	0.3	343506	50.46	TRUE	Calderon	Th1_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054939	0.59	0.77	4.05	17.5	0.21	218275	80.11	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11149160	0.86	0.93	13.86	9.3	0.37	495375	51.69	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054788	0.3	0.53	1.88	21	0.2	201116	84.18	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650747	0.32	0.6	3.1	18.3	0.23	409096	75.17	TRUE	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR11149179	0.85	0.92	12.33	10.7	0.37	494377	62.22	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054872	0.55	0.74	3.73	20.1	0.25	332759	85.64	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650760	0.65	0.81	5.04	15.3	0.36	419509	79.94	TRUE	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR14240811	0.74	0.86	7.3	14.2	0.31	226149	78.53	TRUE	Zhang	monocyte-derived_macrophage	PAIRED	none	Macrophages	SRA
SRR7650824	0.78	0.88	8.44	11.9	0.24	333321	52.53	TRUE	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR5831524	0.69	0.83	6.08	7.9	0.18	295140	49.81	TRUE	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR15054826	0.21	0.43	1.57	11.9	0.15	409045	79.98	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR2920497	0.09	0.27	1.25	20.4	0.13	194104	61.5	TRUE	Corces	CD8Tcell	PAIRED	none	CD8_Tcells	SRA
SRR15054910	0.47	0.68	2.98	16.6	0.18	207012	83.85	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650743	0.5	0.71	3.31	16.4	0.28	529118	69.29	TRUE	Calderon	Naive_CD8_T	PAIRED	stimulated	Naive_CD8_Tcells	SRA
SRR15054929	0.76	0.87	7.59	14	0.17	185240	81.15	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11149150	0.87	0.93	14.52	8.9	0.31	417419	66.23	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR7650807	0.45	0.67	2.79	18.5	0.21	247776	79.83	TRUE	Calderon	Mature_NK	PAIRED	stimulated	NK	SRA
SRR15054778	0.26	0.49	1.74	16.9	0.16	211843	77.02	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR11297461	0.93	0.96	27.58	19.6	0.36	179619	61.86	TRUE	Leylek	Mono	PAIRED	none	Monocytes	SRA
SRR11149169	0.85	0.92	12.53	9.6	0.34	453096	64.16	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15055219	0.93	0.96	27.12	20.1	0.27	168900	34.32	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR15054862	0.17	0.38	1.4	23.8	0.19	288292	84.03	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5646939	0.02	0.14	1.36	12.8	0.05	220149	30.52	TRUE	Liu	human_CD4+_T_cell	PAIRED	sclerosis_patient	CD4_Tcells	SRA
SRR7650820	0.7	0.84	5.99	17.6	0.34	308592	44.21	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5831520	0.69	0.83	6.24	13.8	0.31	399611	25.4	TRUE	Mumbach	Th17_primary_cell	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR2920493	0.33	0.56	2.04	21.4	0.33	160022	40.27	TRUE	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR15054965	0.4	0.62	2.4	15.4	0.19	303599	82.11	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR15054816	0.56	0.74	3.64	13.2	0.18	253053	75.72	TRUE	Giles	CD8_BulkNaive	PAIRED	none	Naive_CD8_Tcells	SRA
SRR15054900	0.58	0.76	3.88	18.3	0.22	253679	81	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650803	0.53	0.72	3.44	15.3	0.31	279636	82.12	TRUE	Calderon	Th17_precursors	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR15054919	0.5	0.7	3.14	20.4	0.24	280809	84.77	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054768	0.58	0.76	3.93	15.9	0.17	168357	83.09	TRUE	Giles	CD4_BulkNonNaive	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR2920476	0.7	0.83	5.74	19	0.41	253434	65.49	TRUE	Corces	Mono	PAIRED	none	Monocytes	SRA
SRR11297451	0.92	0.96	24.55	17.7	0.41	196051	37.77	TRUE	Leylek	cDC2	PAIRED	none	DCs	SRA
SRR11149159	0.86	0.93	13.33	9.3	0.38	564498	74.23	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054852	0.32	0.55	2.06	13.5	0.14	223010	77.65	TRUE	Giles	CD4_BulkNaive	PAIRED	none	Naive_CD4_Tcells	SRA
SRR7650799	0.72	0.85	6.55	14.6	0.3	358859	78.58	TRUE	Calderon	Regulatory_T	PAIRED	stimulated	Tregs	SRA
SRR15054955	0.62	0.78	4.35	15.1	0.21	349407	82.32	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054806	0.14	0.34	1.31	12.5	0.08	202455	82.46	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR5646918	0.32	0.55	1.99	6.9	0.09	158789	63.45	TRUE	Liu	human_dendritic_cell	PAIRED	none	DCs	SRA
SRR7650876	0.71	0.84	6.23	7.9	0.18	395957	80.72	TRUE	Calderon	Th1_precursors	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR13276232	0.25	0.48	1.75	10.4	0.16	241428	30.62	TRUE	Ge	Fibroblasts	PAIRED	stimulated	Fibroblasts	SRA
SRR15054909	0.47	0.67	2.89	20.2	0.21	200924	85.09	TRUE	Giles	CD8_EM1	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11149149	0.42	0.64	2.64	5	0.12	360800	47.2	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15054842	0.06	0.21	1.28	10.4	0.07	293472	83.07	TRUE	Giles	CD8_CM	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650795	0.63	0.79	4.73	13.8	0.25	317744	79.69	TRUE	Calderon	Memory_Tregs	PAIRED	stimulated	Tregs	SRA
SRR7650859	0.76	0.87	7.83	7.6	0.21	514314	79.39	TRUE	Calderon	Naive_CD8_T	PAIRED	none	Naive_CD8_Tcells	SRA
SRR5646914	0.5	0.7	3.01	7.6	0.1	182555	65.87	TRUE	Liu	human_CD4+_T_cell	PAIRED	none	CD4_Tcells	SRA
SRR2920519	0.37	0.59	2.29	21.3	0.28	151710	47.45	TRUE	Corces	CD4Tcell	PAIRED	none	CD4_Tcells	SRA
SRR7650872	0.7	0.84	5.98	8.1	0.25	521101	77.79	TRUE	Calderon	Naive_Tregs	PAIRED	none	Tregs	SRA
SRR15054945	0.2	0.41	1.44	14.6	0.12	254530	82.27	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054794	0.02	0.14	2.28	21.1	0.04	481669	83.89	TRUE	Giles	CD8_EM2	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR11149185	0.86	0.93	13.3	8.6	0.36	494002	72.18	TRUE	Xin	Endothelial	PAIRED	hypoxia	Endothelial	SRA
SRR15055235	0.85	0.92	12.63	20.8	0.45	509067	19.02	TRUE	Giles	CD8_NonNaive_Tumor	PAIRED	tumor_donor	Non_Naive_CD8_Tcells	SRA
SRR7650778	0.77	0.88	8.01	10.8	0.19	281523	79.19	TRUE	Calderon	CD8pos_T	PAIRED	none	CD8_Tcells	SRA
SRR7650791	0.58	0.76	4.03	11.5	0.29	403071	82.09	TRUE	Calderon	Follicular_T_Helper	PAIRED	stimulated	Non_Naive_CD4_Tcells	SRA
SRR11297431	0.91	0.95	21.34	14.5	0.34	224287	40.85	TRUE	Leylek	pDC	PAIRED	none	DCs	SRA
SRR14240836	0.67	0.82	5.75	23.1	0.47	195361	72.63	TRUE	Zhang	CD8_T_cells	PAIRED	none	CD8_Tcells	SRA
SRR7650855	0.65	0.81	5.07	13.2	0.28	429075	79.62	TRUE	Calderon	Central_memory_CD8pos_T	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR15054832	0.4	0.62	2.52	21	0.2	166743	84.44	TRUE	Giles	CD8_BulkNonNaive	PAIRED	none	Non_Naive_CD8_Tcells	SRA
SRR7650919	0.62	0.79	4.67	7	0.16	425576	81.34	TRUE	Calderon	Follicular_T_Helper	PAIRED	none	Non_Naive_CD4_Tcells	SRA
SRR5646910	0.64	0.8	4.65	10.8	0.13	189889	58.15	TRUE	Liu	human_endotheliocyte_cell	PAIRED	none	Endothelial	SRA
